,Image_Name,Real_Caption,Pred_Caption
4,8_59/00121.jpg,real quickly and this one's going to be public so other classes can us,like 0.85 something more you know we can do is we even now and we establish what we don't worry about the to
71,8_58/00244.jpg,to b 0 now what we can do is instead of having this 0 here we can put i,copy this is just gangsta and you know kind of a resource folder maybe one we're also going to do for the 
110,8_70/00255.jpg,save that and run it now and you know this is going to be our firs,according to the actual you can get into the assets from that we can refer to the actual you probably just do somethin
173,8_193/00036.jpg,one more tutorial before we actually get into the way that you guys want to d,group of probably confusing for now but basically it's within our slider class as you can also you know pretty quick make sur
233,8_193/00340.jpg,one prefs right here all upcase and then all we have to do is set u,dot travis dot travis dot travis and then one and then we got reference so we're just going to just basically the typ
240,8_193/00354.jpg,set up that we created for the most part so i'm going to copy one o,uppercase so starting point starting to lose my voice i'm sorry style one to start first title so we're going to do <end
293,8_187/00196.jpg,bring back surface class just to do something a little different i',going to kind of give the to create two so you're going to read through every time you guys want to do wit
334,8_150/00131.jpg,second parameter it's our actual bitmap that won't want to decode so we'r,surface and then what we already within our on pause method we can just copy this will get rid of that we creat
355,8_150/00188.jpg,now within the way this application setup but i just want to show yo,so there we go to this actually guys have an ide which all this tutorial i should know it down here the cod
382,8_144/00047.jpg,know we can pick a color from here so let's do lik,save and we're just setting it equal to the you know the bottom or a bitmap we're going to be here and androi
397,8_144/00168.jpg,bitmap and then we have some different parameters as you can see we're goin,center y is the top where we were just say just canvas dot draw random and then what what we were just t
453,8_178/00058.jpg,string line for l or l for line and we're just going to set this als,return a method execute and and we have you know this is we want to add to type in our bufferedreader that's goin
483,8_178/00125.jpg,value that we're reading so we're going to say our line plus we want to ad,then we just specified a little bit further by a little bit further by a little bit further you guys want to us
561,8_178/00327.jpg,sort of air as well just always good to keep that in mind of how ou,view so that's just so there so now what we can refer to it everywhere else so we're just gonna say our 
586,8_123/00024.jpg,for the get method using the http client we'll get into again that twitte,is a java we can contact you know our xml parsing class as well then just save it into the tutorial i jus
610,8_123/00108.jpg,that or before that as well this is where we're going to use our setting,our edit text in there for the most important one and we're going to do is we just have one so again jus
658,8_123/00224.jpg,for the most part so we want that to be true as well instead of if we set i,client it's not and then what we're going to do now it's do is create object that's just do now are enable els
663,8_123/00261.jpg,sure everything works and that's pretty much it for this tutorial guy,let's change and since we click on resume method for the emulator it's going to put a capital l as so <end
686,8_17/00123.jpg,something called array list and that's what this is going to refer to s,so let's set up like 200 now let's go to be good good stuff but you'll show you guys don't know set u
851,8_136/00110.jpg,which notification we want to set up so we're just gonna say unique id an,though we're gonna type it a little activity there is again is for a way we have to notify the user has on
856,8_136/00115.jpg,need an unique id is well actually i'll show you but we're gonna copy thi,looks like we've used a terrible is a little activity there we go we've done we've set up a new works all yo
899,8_122/00148.jpg,say within our on click method after w,example and that's what we need to type it looks kind of understand what that's what we need at least i all w
900,8_122/00149.jpg,say within our on click method after w,know me travis and there we go we've done that you know showing and then it you know add all we have t
965,8_122/00328.jpg,know how to do this as well so we're going to say button because we hav,this to the top there and takes flags and we're going to say view flipper we're going to can access this some differen
1047,8_134/00212.jpg,activity and kind of made these reference bridges over from the xm,we're going to set them up guys welcome to your own at another bracket below the button so we're going to have thi
1066,8_120/00035.jpg,say string and we're gonna call this city set this equal to null so no,what we're going to quickly just kind of those four and i'm not much the next tutorial i and i'm <end
